the_geom,temp,the_geom_webmercator,narrative,nearest_city,equipment_damage,minute,rr_employees_killed,year,highest_speed_reported,passengers_injured,hour,tons,states,county,railroad,date,cartodb_id,others_injured,state,subdivision,cause,cause_subcategory,train_speed,weather,total_damage,accident_type,passengers_killed,visibility,day,rr_employees_injured,am_pm,month,image,zip_code
0101000020E6100000E5B67D8FFAD154C011381268B0D53E40,77,0101000020110F00002A494EACC0AE61C149EF24AA538D4B41,TRAIN 308 STRUCK TRUCK-TRAILER STALLED AT GRADE CROSSING.       ,VALDOSTA,238,4,0,2011,25,0,8,1661,31,LOWNDES,NS,2011-08-08 00:00:00+00,10214,0,Georgia,,Miscellaneous Causes Not Otherwise Listed,Loading Procedures,25,Clear,12752,Hwy-rail crossing,0,Dawn,8,0,AM,11-Aug,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000E5B67D8FFAD154C011381268B0D53E40,92,0101000020110F00002A494EACC0AE61C149EF24AA538D4B41,A77804 WAS PULLING OUT TRACK 2 WITH CARS DERAILING LINES 29-32.       ,VALDOSTA,129275,50,0,2010,10,0,7,5000,31,LOWNDES,CSX,2010-08-04 00:00:00+00,1450,0,Georgia,,Mechanical and Electrical Failures,Truck Components,10,Cloudy,131275,Derailment,0,Day,4,0,PM,10-Aug,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000F50A0BEE071955C0581EA4A7C8DF4040,46,0101000020110F0000F1E500E918EB61C1E873151AD87A4E41,Y12530 WAS PULLING DOWN THE SWITCHING LEAD AT HOWELLS YARD INTO H04 WHEN THE RAIL BROKE JUST NORTH O F THE H04 SWITCH DERAILING 4 CARS. ONE CAR THEN SIDESWIPED TWO CARS IN TRACK H03.      ,ATLANTA,12127,15,0,2011,4,0,1,0,31,FULTON,CSX,2011-11-30 00:00:00+00,9136,0,Georgia,,"Rack, Roadbed and Structures","Rail, Joint Bar and Rail Anchoring",4,Clear,42253,Derailment,0,Day,30,0,PM,11-Nov,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000008D5DA27A6B7E54C03BE3FBE252BD4040,75,0101000020110F0000A9CB8938C96761C15F6AC0B88E344E41,"GN41 SHOVING SOUTH ON INDUSTRY OWNED AND MAINTAINED TRACK WITH 1 UNIT, 8 LOADS, 10 EMPTIES, 1330 TON S, DERAILED L&R 1 THROUGH 4 WHEELS ON 18 HEAD CAR, EEC 2670.      ",AUGUSTA,14000,45,0,2011,9,0,12,1330,31,RICHMOND,NS,2011-05-25 00:00:00+00,9447,0,Georgia,,Train operation - Human Factors,General Switching Rules,9,Clear,14000,Derailment,0,Dark,25,0,AM,11-May,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E610000006854199461C55C0813FFCFCF7D64040,77,0101000020110F0000AED0BE65DAED61C1C53CC1EBD7684E41,"P269416 PULLING NORTH ON NS OWNED AND MAINTAINED TRACK WITH 3 UNITS, 14 LOADS, 20 EMPTIES, 2408 TONS , DERAILED 8TH THROUGH 14TH HEAD CARS.      ",EAST POINT,1430,5,0,2012,5,0,6,2408,31,FULTON,NS,2012-09-16 00:00:00+00,6892,0,Georgia,GEORGIA,Train operation - Human Factors,Train Handling / Train Make-Up,5,Cloudy,22430,Derailment,0,Dusk,16,0,PM,12-Sep,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000E527D53E1D1355C02B51F69672F24040,95,0101000020110F00008AF2FB7C12E661C15DEF6A0501A14E41,"222 3'10"" 153 4'00""  CAR STALLED ON TRACK AT PEACHTREE ROAD CROSSING AND THE 222P424 STRUCK THE AUTO .  ADDITIONAL: PER CASUALTY CLAIMS DEPT., RAIL VIEW VIDEO SHOWS THIS INCIDENT OCCURRED GRADE CROSSIN G. UNOCCUPIED VEHICLE WAS HIT ON THE TRACKS BUT NOT AT THE CROSSING.     ",CHAMBLEE,10000,57,0,2011,45,0,4,18,31,GWINNETT,NS,2011-07-24 00:00:00+00,4799,0,Georgia,,Miscellaneous Causes Not Otherwise Listed,Loading Procedures,45,Clear,28000,Hwy-rail crossing,0,Dusk,24,0,PM,11-Jul,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
,75,,"Y10121 WAS SHOVING 34 CARS AND TWO ENGINES ON THE PORT TRACK. THE CONDUCTOR WAS PROTECTING THE SHOVE FROM THE BOTTOM TO PROTECT A ROAD CROSSING. HE TOLD THE ENGINEER TO SHOVE BACK FIVE CARS TO COVER C ROSSING AND THE SWITCH WAS LINED FOR THEIR MOVEMENT. THEY SHOVED BACK FIVE CARS AND STOPPED, THE CON DUCTOR RETURNED TO THE HEAD TO CUT OFF SOME CARS AND WORK INDUSTRY. THEY PULLED AHEAD THREE CARS AND THE TRAIN STOPPED. THE CONDUCTOR RETURNED TO THE BOTTOM FINDING THREE DERAILED CARS. THEY HAD RUN T HRU THE SWITCH CAUSING DERAILMENT.  ",TRANSFER CON CP,22598,30,0,2013,3,0,2,0,,DECATUR,CSX,2013-11-21 00:00:00+00,9,0,Georgia,BAINBRIDGE,Train operation - Human Factors,"Switches, Use of",3,Clear,23598,Other,0,Day,21,0,PM,13-Nov,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,
0101000020E6100000378AAC35942855C0C9AD49B725E84040,69,0101000020110F00006E9EF15C4DF861C177C1A6A2EF8B4E41,"AMTRAK 19 OPERATING ON OUR MAIN TRACK STRUCK A TRACTOR TRAILER AT THE SPRING STREET CROSSING.  OUR D OT INVENTORY DATABASE SHOWS THIS INCIDENT OCCURRED IN DOUGLAS COUNTY, GA.      ",AUSTELL,0,11,0,2012,30,0,9,0,31,DOUGLAS,NS,2012-04-13 00:00:00+00,4776,0,Georgia,GEORGIA,Miscellaneous Causes Not Otherwise Listed,Loading Procedures,0,Clear,15121,Hwy-rail crossing,0,Day,13,0,AM,12-Apr,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000006F7A17EFC7AF54C03028D36872093F40,75,0101000020110F0000DEE9B05DB59161C12562CC3F93C04B41,Q28209 TRAVELLING WEST ON THOMASVILLE MAIN STRUCK OCCUPIED 18 WHEELER.       ,HOMERVILLE,123386,0,0,2012,47,0,9,1699,31,CLINCH,CSX,2012-04-09 00:00:00+00,8497,1,Georgia,THOMASVILLE,Miscellaneous Causes Not Otherwise Listed,Loading Procedures,47,Clear,158386,Hwy-rail crossing,0,Day,9,1,AM,12-Apr,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000D6355A0EF4F454C0DBA50D87A5014140,55,0101000020110F0000BA1E31E174CC61C13B7E2ABD20C04E41,A751-09 DERAILED 3 CARS PULLING OUT FROM THE BOISE LEAD TO THE MAIN LINE.       ,AUBURN,44551,28,0,2012,3,0,7,630,31,BARROW,CSX,2012-01-10 00:00:00+00,8048,0,Georgia,ABBEVILLE,Train operation - Human Factors,"Switches, Use of",3,Fog,45601,Derailment,0,Day,10,0,AM,12-Jan,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
